type;thematique_fr;thematique_en;title_fr;title_en;date_publication;date_mise_a_jour;lien;piece_jointe;sheet_index;row_index
archive;Comptes Nationaux Financiers;National Financial Accounts;Comptes nationaux financiers annuels (base 2014);Annual national financial accounts (2014 base);2024-11-06;2024-11-06;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/813db92997008f93104b91b0b4736c2f;1;5
archive;Comptes Nationaux Financiers;National Financial Accounts;Comptes nationaux financiers trimestriels (base 2010);Quarterly national financial accounts (2010 base);2024-11-06;2024-11-06;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/c21e0c9d892abac439092b9a1b4d7679;1;8
archive;Comptes Nationaux Financiers;National Financial Accounts;Comptes nationaux financiers annuels (base 2005);Annual national financial accounts (2005 base);2024-07-11;2024-11-06;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/eb41fd17e2a108cb13758b28a4ee7edc;1;9
archive;Comptes Nationaux Financiers;National Financial Accounts;Comptes nationaux financiers trimestriels (base 2000);Quarterly national financial accounts (base 2000);2024-07-11;2024-11-06;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/780b6138a8781da3d107949aa561c7ed;1;12
archive;Agrégats de la zone euro, engagements monétaires et crédits des IFM résidant en France (Archive);Agrégats de la zone euro, engagements monétaires et crédits des IFM résidant en France (Archive);tmf_mens_zeuro_fr_monnaicred.csv;tmf_mens_zeuro_fr_monnaicred.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/0e766be443d3af104e3bd65c4c4665b9;1;14
archive;Annexes fiches méthodologiques;Methodological Notes Annexes;Modalites_codes_CONS.xlsx;Modalites_codes_CONS.xlsx;2024-06-28;2024-06-28;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/dedaa518ef7b8ed2439cb665daa1151c;1;15
archive;Annexes fiches méthodologiques;Methodological Notes Annexes;Modalites_codes_SC1.xlsx;Modalites_codes_SC1.xlsx;2024-06-28;2024-06-28;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/f3fd89a91e4be146f80d7d9e17b0dbc9;1;16
archive;Bilan des établissements de crédit et des OPC monétaires (séries arrêtées);Bilan des établissements de crédit et des OPC monétaires (séries arrêtées);Bilan_des_etablissements_de_credit_et_des_OPC_monetaires_series_arretees.xml;Bilan_des_etablissements_de_credit_et_des_OPC_monetaires_series_arretees.xml;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/0e1503b528c2824b54a92b292bb65c7f;1;23
archive;Billets de trésorerie (archive);Billets de trésorerie (archive);Billets_de_tresorerie_archive.csv;Billets_de_tresorerie_archive.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/d5b04930cca933f577909b05b2f65062;1;24
archive;Bons à moyen terme négociables (archive);Bons à moyen terme négociables (archive);Bons_a_moyen_terme_negociables_archive.csv;Bons_a_moyen_terme_negociables_archive.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/b3a2a5c0b510ead1bef249e218995cf5;1;25
archive;Cours de change Franc - devises exotiques;Cours de change Franc - devises exotiques;Principales_devises_mensuelles.pdf;Principales_devises_mensuelles.pdf;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/5323a9ff94a39c71abc59649f4673f09;1;29
